name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,serving,Cals,Fat,Carbs,Prot,key
Boondi,"Gram flour, ghee, sugar",vegetarian,80,30,sweet,dessert,Rajasthan,West,100g,584,41.17g,39.55g,13.75g,boondi
Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins",vegetarian,15,60,sweet,dessert,Punjab,North,100g,175,5g,30.48g,4.07g,gajar_ka_halwa
Ghevar,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",vegetarian,15,30,sweet,dessert,Rajasthan,West,100g,76,2.09g,13.24g,1.04g,ghevar
Gulab jamun,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",vegetarian,15,40,sweet,dessert,West Bengal,East,100g,323,15.75g,39.26g,7.15g,gulab_jamun
Imarti,"Sugar syrup, lentil flour",vegetarian,10,50,sweet,dessert,West Bengal,East,100g,226,10.62g,31.71g,3.14g,imarti
Jalebi,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",vegetarian,10,50,sweet,dessert,Uttar Pradesh,North,100g,150,2.16g,31.18g,2.09g,jalebi
Kalakand,"Milk, cottage cheese, sugar",vegetarian,20,30,sweet,dessert,West Bengal,East,100g,262,10.69g,35.34g,8.36g,kalakand
Lassi,"Yogurt, milk, nuts, sugar",vegetarian,5,5,sweet,dessert,Punjab,North,100g,79,2.22g,12.83g,2.35g,lassi
Phirni,"Rice, sugar, nuts",vegetarian,30,20,sweet,dessert,Odisha,East,100g,474,25.81g,43.91g,22.99g,phirni
Rabri,"Condensed milk, sugar, spices, nuts",vegetarian,10,45,sweet,dessert,Uttar Pradesh,North,100g,214,6.86g,32.24g,6.7g,rabri
Sheera,"Semolina, ghee, nuts, milk",vegetarian,10,25,sweet,dessert,Maharashtra,West,100g,189,4.67g,34.27g,3.49g,sheera
